Instrument,Statut,Cours_Reference,Ouverture,Dernier_Cours,Quantite_Echangee,Volume,Variation_Pourcentage,Plus_Haut_Jour,Plus_Bas_Jour,Meilleur_Prix_Achat,Meilleur_Prix_Vente,Quantite_Meilleur_Prix_Achat,Quantite_Meilleur_Prix_Vente,Capitalisation,Nombre_Transactions,Ticker,Company,Last Price,Timestamp
TAQA MOROCCO,T,"2 499,00","2 450,00","2 450,00",258,"632 322,00","-1,96 %","2 453,00","2 450,00","2 454,00","2 479,00",5,2,"57 791 927 900,00",19,TAQA MOROCCO,TAQA MOROCCO,"2 450,00",2025-10-23 13:29:35
SODEP-Marsa Maroc,T,"985,00","985,00","979,00",4 305,"4 237 033,20","-0,61 %","986,00","975,00","976,00","979,00",30,11,"71 854 292 400,00",65,SODEP-Marsa Maroc,SODEP-Marsa Maroc,"979,00",2025-10-23 13:29:35
ARADEI CAPITAL,T,"460,00","464,90","464,90",2,"929,80","1,07 %","464,90","464,90","459,20","464,90",435,38,"5 842 923 637,00",1,ARADEI CAPITAL,ARADEI CAPITAL,"464,90",2025-10-23 13:29:35
BALIMA,N.T,"260,00",-,"260,00",-,-,"0,00 %",-,-,"244,50","280,00",100,50,"453 440 000,00",-,BALIMA,BALIMA,"260,00",2025-10-23 13:29:35
IMMORENTE INVEST,T,"90,92","90,00","90,70",524,"47 377,35","-0,24 %","90,80","90,00","90,21","90,80",1,41,"816 934 900,00",18,IMMORENTE INVEST,IMMORENTE INVEST,"90,70",2025-10-23 13:29:35
CARTIER SAADA,N.T,"38,50",-,"38,50",-,-,"0,00 %",-,-,"37,00","38,50",20,487,"202 702 500,00",-,CARTIER SAADA,CARTIER SAADA,"38,50",2025-10-23 13:29:35
COSUMAR,T,"212,00","213,90","212,00",14 339,"3 040 457,80","0,00 %","213,90","212,00","212,00","213,80",18,40,"20 031 274 316,00",17,COSUMAR,COSUMAR,"212,00",2025-10-23 13:29:35
DARI COUSPATE,N.T,"4 000,00",-,"4 000,00",-,-,"0,00 %",-,-,-,"4 100,00",-,50,"1 193 500 000,00",-,DARI COUSPATE,DARI COUSPATE,"4 000,00",2025-10-23 13:29:35
LESIEUR CRISTAL,N.T,"299,00",-,"299,00",-,-,"0,00 %",-,-,"291,00","299,00",29,20,"8 261 821 490,00",-,LESIEUR CRISTAL,LESIEUR CRISTAL,"299,00",2025-10-23 13:29:35
MUTANDIS SCA,T,"281,00","283,20","281,20",987,"279 426,50","0,07 %","284,00","281,10","281,50","282,00",9,4,"2 600 182 444,40",22,MUTANDIS SCA,MUTANDIS SCA,"281,20",2025-10-23 13:29:35
UNIMER,N.T,"159,00",-,"159,00",-,-,"0,00 %",-,-,"155,00","159,00",1,498,"1 814 806 920,00",-,UNIMER,UNIMER,"159,00",2025-10-23 13:29:35
AFMA,N.T,"1 258,00",-,"1 258,00",-,-,"0,00 %",-,-,"1 258,00","1 319,00",3,21,"1 258 000 000,00",-,AFMA,AFMA,"1 258,00",2025-10-23 13:29:35
AGMA,N.T,"6 350,00",-,"6 350,00",-,-,"0,00 %",-,-,"6 312,00","6 666,00",6,1,"1 270 000 000,00",-,AGMA,AGMA,"6 350,00",2025-10-23 13:29:35
ATLANTASANAD,T,"158,60","158,00","157,90",334,"52 771,90","-0,44 %","158,00","157,90","153,60","157,00",6,216,"9 518 779 650,50",5,ATLANTASANAD,ATLANTASANAD,"157,90",2025-10-23 13:29:35
SANLAM MAROC,N.T,"1 950,00",-,"1 950,00",-,-,"0,00 %",-,-,"1 951,00","2 080,00",40,6,"8 027 904 300,00",-,SANLAM MAROC,SANLAM MAROC,"1 950,00",2025-10-23 13:29:35
WAFA ASSURANCE,N.T,"5 120,00",-,"5 120,00",-,-,"0,00 %",-,-,"5 001,00","5 197,00",1,5,"17 920 000 000,00",-,WAFA ASSURANCE,WAFA ASSURANCE,"5 120,00",2025-10-23 13:29:35
AFRIC INDUSTRIES SA,N.T,"339,45",-,"339,45",-,-,"0,00 %",-,-,"330,05","338,80",21,35,"98 949 675,00",-,AFRIC INDUSTRIES SA,AFRIC INDUSTRIES SA,"339,45",2025-10-23 13:29:35
ALUMINIUM DU MAROC,T,"1 846,00","1 795,00","1 845,00",7,"12 665,00","-0,05 %","1 845,00","1 795,00","1 800,00","1 846,00",1,1,"859 685 130,00",2,ALUMINIUM DU MAROC,ALUMINIUM DU MAROC,"1 845,00",2025-10-23 13:29:35
CIMENTS DU MAROC,T,"2 035,00","2 035,00","2 035,00",25,"50 875,00","0,00 %","2 035,00","2 035,00","2 003,00","2 034,00",11,8,"29 377 268 140,00",3,CIMENTS DU MAROC,CIMENTS DU MAROC,"2 035,00",2025-10-23 13:29:35
COLORADO,T,"90,00","92,50","92,29",1 075,"98 954,04","2,54 %","92,50","91,00","91,50","92,00",20,1 350,"1 487 494 319,19",13,COLORADO,COLORADO,"92,29",2025-10-23 13:29:35
JET CONTRACTORS,T,"2 550,00","2 526,00","2 530,00",948,"2 388 421,00","-0,78 %","2 530,00","2 510,00","2 520,00","2 530,00",25,2,"7 664 690 660,00",29,JET CONTRACTORS,JET CONTRACTORS,"2 530,00",2025-10-23 13:29:35
LAFARGEHOLCIM MAROC,T,"1 900,00","1 900,00","1 890,00",320,"607 900,00","-0,53 %","1 900,00","1 890,00","1 885,00","1 890,00",48,10,"44 285 043 600,00",6,LAFARGEHOLCIM MAROC,LAFARGEHOLCIM MAROC,"1 890,00",2025-10-23 13:29:35
SONASID,T,"2 470,00","2 499,00","2 450,00",113,"276 806,00","-0,81 %","2 499,00","2 410,00","2 418,00","2 449,00",10,18,"9 555 000 000,00",6,SONASID,SONASID,"2 450,00",2025-10-23 13:29:35
TGCC S.A,T,"930,00","932,10","915,00",4 153,"3 822 202,70","-1,61 %","939,00","911,00","912,10","919,00",25,35,"31 727 013 780,00",174,TGCC S.A,TGCC S.A,"915,00",2025-10-23 13:29:35
ATTIJARIWAFA BANK,T,"780,00","775,00","772,10",2 704,"2 092 050,50","-1,01 %","779,00","768,00","773,00","774,00",500,12,"166 110 241 791,90",28,ATTIJARIWAFA BANK,ATTIJARIWAFA BANK,"772,10",2025-10-23 13:29:35
BANK OF AFRICA,T,"245,00","246,00","245,50",944,"229 661,60","0,20 %","246,00","240,00","243,25","245,50",500,208,"52 975 544 751,50",24,BANK OF AFRICA,BANK OF AFRICA,"245,50",2025-10-23 13:29:35
BCP,T,"292,00","300,00","295,00",7 360,"2 174 011,60","1,03 %","300,00","295,00","295,00","299,00",500,156,"59 977 179 535,00",25,BCP,BCP,"295,00",2025-10-23 13:29:35
BMCI,T,"559,90","574,00","574,00",3,"1 722,00","2,52 %","574,00","574,00","559,90","569,90",10,11,"7 622 310 164,00",1,BMCI,BMCI,"574,00",2025-10-23 13:29:35
CDM,T,"1 025,00","1 049,00","1 026,00",2 006,"2 056 251,00","0,10 %","1 050,00","1 025,00","1 026,00","1 044,00",2,1,"11 164 125 564,00",4,CDM,CDM,"1 026,00",2025-10-23 13:29:35
CFG BANK,T,"260,00","258,00","255,00",265,"67 920,00","-1,92 %","258,00","255,00","247,05","253,00",200,15,"8 927 029 800,00",4,CFG BANK,CFG BANK,"255,00",2025-10-23 13:29:35
CIH,T,"420,00","420,00","420,05",402,"168 842,50","0,01 %","420,05","420,00","420,05","422,40",450,100,"14 956 142 361,20",6,CIH,CIH,"420,05",2025-10-23 13:29:35
OULMES,N.T,"1 249,00",-,"1 249,00",-,-,"0,00 %",-,-,"1 160,00","1 249,00",1,46,"2 473 020 000,00",-,OULMES,OULMES,"1 249,00",2025-10-23 13:29:35
SOCIETE DES BOISSONS DU MAROC,N.T,"2 349,00",-,"2 349,00",-,-,"0,00 %",-,-,"2 250,00","2 349,00",200,7,"6 646 854 897,00",-,SOCIETE DES BOISSONS DU MAROC,SOCIETE DES BOISSONS DU MAROC,"2 349,00",2025-10-23 13:29:35
MAGHREB OXYGENE,T,"405,00","405,00","405,00",40,"16 200,00","0,00 %","405,00","405,00","403,00","419,00",15,2,"329 062 500,00",2,MAGHREB OXYGENE,MAGHREB OXYGENE,"405,00",2025-10-23 13:29:35
SNEP,T,"540,00","543,00","552,80",15,"8 167,70","2,37 %","554,90","543,00","543,10","552,70",1,1,"1 326 720 000,00",9,SNEP,SNEP,"552,80",2025-10-23 13:29:35
AUTO HALL,T,"98,99","98,94","97,50",9 933,"968 708,30","-1,51 %","98,94","97,50","97,00","98,49",41,170,"4 903 716 480,00",16,AUTO HALL,AUTO HALL,"97,50",2025-10-23 13:29:35
AUTO NEJMA,N.T,"4 600,00",-,"4 600,00",-,-,"0,00 %",-,-,"4 600,00","4 875,00",2,2,"4 707 014 400,00",-,AUTO NEJMA,AUTO NEJMA,"4 600,00",2025-10-23 13:29:35
ENNAKL,T,"64,22","66,51","66,00",40 398,"2 643 059,75","2,77 %","67,00","64,00","65,56","66,00",54,390,"1 980 000 000,00",223,ENNAKL,ENNAKL,"66,00",2025-10-23 13:29:35
FENIE BROSSETTE,T,"475,00","481,00","472,00",912,"431 399,50","-0,63 %","481,00","466,25","467,50","468,00",40,5,"679 200 448,00",29,FENIE BROSSETTE,FENIE BROSSETTE,"472,00",2025-10-23 13:29:35
LABEL VIE,T,"4 698,00","4 698,00","4 698,00",220,"1 033 560,00","0,00 %","4 698,00","4 698,00","4 620,00","4 698,00",43,308,"13 595 809 986,00",4,LABEL VIE,LABEL VIE,"4 698,00",2025-10-23 13:29:35
REALISATIONS MECANIQUES,T,"526,00","515,20","525,80",11,"5 678,50","-0,04 %","525,80","511,10","513,20","525,50",17,1,"168 256 000,00",3,REALISATIONS MECANIQUES,REALISATIONS MECANIQUES,"525,80",2025-10-23 13:29:35
STOKVIS NORD AFRIQUE,T,"132,60","132,80","131,50",10 272,"1 347 196,65","-0,83 %","132,80","130,00","131,50","132,50",10,42,"2 326 912 225,00",108,STOKVIS NORD AFRIQUE,STOKVIS NORD AFRIQUE,"131,50",2025-10-23 13:29:35
DELATTRE LEVIVIER MAROC,S,"40,00",-,"40,00",-,-,"0,00 %",-,-,-,-,-,-,"70 000 000,00",-,DELATTRE LEVIVIER MAROC,DELATTRE LEVIVIER MAROC,"40,00",2025-10-23 13:29:35
STROC INDUSTRIE,T,"310,00","312,95","306,00",13 181,"3 999 470,90","-1,29 %","312,95","300,00","302,10","307,00",1,200,"382 045 590,00",99,STROC INDUSTRIE,STROC INDUSTRIE,"306,00",2025-10-23 13:29:35
ALLIANCES,T,"554,00","554,00","543,00",3 510,"1 906 557,80","-1,99 %","554,00","540,00","543,00","544,00",40,47,"11 988 673 284,00",71,ALLIANCES,ALLIANCES,"543,00",2025-10-23 13:29:35
DOUJA PROM ADDOHA,T,"40,50","40,94","39,80",58 134,"2 335 772,69","-1,73 %","40,94","39,51","39,81","39,94",451,100,"16 021 539 909,20",145,DOUJA PROM ADDOHA,DOUJA PROM ADDOHA,"39,80",2025-10-23 13:29:35
RESIDENCES DAR SAADA,T,"184,90","184,45","186,00",66 599,"12 248 113,65","0,59 %","186,65","181,00","185,25","186,00",15,888,"4 874 846 100,00",203,RESIDENCES DAR SAADA,RESIDENCES DAR SAADA,"186,00",2025-10-23 13:29:35
RISMA,T,"420,10","421,00","418,00",10 319,"4 283 958,05","-0,50 %","421,00","410,00","415,00","419,95",801,1,"5 988 663 846,00",12,RISMA,RISMA,"418,00",2025-10-23 13:29:35
DISTY TECHNOLOGIES,T,"395,00","395,00","390,00",138,"54 325,00","-1,27 %","395,00","390,00","390,00","394,00",28,16,"389 262 900,00",5,DISTY TECHNOLOGIES,DISTY TECHNOLOGIES,"390,00",2025-10-23 13:29:35
DISWAY,N.T,"922,00",-,"922,00",-,-,"0,00 %",-,-,"917,50","936,00",5,17,"1 738 672 564,00",-,DISWAY,DISWAY,"922,00",2025-10-23 13:29:35
HPS,T,"528,00","530,00","535,00",542,"288 167,80","1,33 %","537,90","530,00","531,00","535,00",104,11,"3 962 311 650,00",30,HPS,HPS,"535,00",2025-10-23 13:29:35
IB MAROC.COM,T,"75,00","76,60","73,70",303,"22 070,70","-1,73 %","76,60","72,14","72,51","74,95",3,20,"30 768 718,20",12,IB MAROC.COM,IB MAROC.COM,"73,70",2025-10-23 13:29:35
INVOLYS,T,"169,90","165,10","168,00",113,"19 003,50","-1,12 %","171,00","165,10","166,00","169,00",201,48,"64 296 288,00",7,INVOLYS,INVOLYS,"168,00",2025-10-23 13:29:35
M2M Group,N.T,"484,80",-,"484,80",-,-,"0,00 %",-,-,"471,30","484,90",30,9,"314 042 289,60",-,M2M Group,M2M Group,"484,80",2025-10-23 13:29:35
MICRODATA,T,"783,00","790,00","783,00",14,"11 053,00","0,00 %","790,00","783,00","786,00","795,00",30,3,"1 315 440 000,00",3,MICRODATA,MICRODATA,"783,00",2025-10-23 13:29:35
S.M MONETIQUE,T,"615,00","615,00","605,10",9,"5 491,40","-1,61 %","615,00","605,10","605,20","614,00",1,28,"491 383 557,00",3,S.M MONETIQUE,S.M MONETIQUE,"605,10",2025-10-23 13:29:35
MANAGEM,T,"6 080,00","6 179,00","6 179,00",4,"24 716,00","1,63 %","6 179,00","6 179,00","6 001,00","6 170,00",2,6,"73 311 833 004,00",2,MANAGEM,MANAGEM,"6 179,00",2025-10-23 13:29:35
MINIERE TOUISSIT,T,"2 500,00","2 500,00","2 500,00",172,"430 000,00","0,00 %","2 500,00","2 500,00","2 451,00","2 500,00",1,9,"4 203 082 500,00",6,MINIERE TOUISSIT,MINIERE TOUISSIT,"2 500,00",2025-10-23 13:29:35
REBAB COMPANY,N.T,"98,71",-,"98,71",-,-,"0,00 %",-,-,"92,00","98,71",25,76,"17 417 971,76",-,REBAB COMPANY,REBAB COMPANY,"98,71",2025-10-23 13:29:35
SMI,T,"2 699,00","2 650,00","2 727,00",928,"2 477 908,00","1,04 %","2 727,00","2 650,00","2 656,00","2 720,00",8,2,"4 486 160 430,00",4,SMI,SMI,"2 727,00",2025-10-23 13:29:35
AFRIQUIA GAZ,N.T,"4 140,00",-,"4 140,00",-,-,"0,00 %",-,-,"4 025,00","4 100,00",13,45,"14 231 250 000,00",-,AFRIQUIA GAZ,AFRIQUIA GAZ,"4 140,00",2025-10-23 13:29:35
SAMIR,S,"127,80",-,"127,80",-,-,"0,00 %",-,-,-,-,-,-,"1 520 777 187,00",-,SAMIR,SAMIR,"127,80",2025-10-23 13:29:35
